Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Final_Sales,Profit_Tier
CA-2016-152156,2016-11-08,2016-11-11,Second Class,Claire Gute,Consumer,South,Kentucky,Henderson,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,309.11,Positive
CA-2016-152156,2016-11-08,2016-11-11,Second Class,Claire Gute,Consumer,South,Kentucky,Henderson,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,863.69,High
CA-2016-138688,2016-06-12,2016-06-16,Second Class,Darrin Van Huff,Corporate,West,California,Los Angeles,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,17.25,Positive
US-2015-108966,2015-10-11,2015-10-18,Standard Class,Sean O'Donnell,Consumer,South,Florida,Fort Lauderdale,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,1129.94,Loss
US-2015-108966,2015-10-11,2015-10-18,Standard Class,Sean O'Donnell,Consumer,South,Florida,Fort Lauderdale,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,26.39,Positive
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,57.65,Positive
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,8.59,Positive
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,1070.44,Positive
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,21.83,Positive
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,135.58,Positive
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,2013.3,Positive
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Technology,Phones,Konftel 250 Conference�phone�- Charcoal black,911.424,4,0.2,68.3568,1075.48,Positive
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,Andrew Allen,Consumer,South,North Carolina,Concord,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,18.35,Positive
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,Irene Maddox,Consumer,West,Washington,Seattle,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,481.41,High
US-2015-118983,2015-11-22,2015-11-26,Standard Class,Harold Pawlan,Home Office,Central,Texas,Fort Worth,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,81.2,Loss
US-2015-118983,2015-11-22,2015-11-26,Standard Class,Harold Pawlan,Home Office,Central,Texas,Fort Worth,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,3.0,Loss
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,Pete Kriz,Consumer,Central,Wisconsin,Madison,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72\"H x 36\"W x 18 1/2\"D",665.88,6,0.0,13.3176,785.74,Positive
CA-2014-167164,2014-05-13,2014-05-15,Second Class,Alejandro Grove,Consumer,West,Utah,West Jordan,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,65.49,Positive
CA-2014-143336,2014-08-27,2014-09-01,Second Class,Zuschuss Donatelli,Consumer,West,California,San Francisco,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,10.1,Positive
CA-2014-143336,2014-08-27,2014-09-01,Second Class,Zuschuss Donatelli,Consumer,West,California,San Francisco,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,251.91,Positive
